year,type,public_body_name,program_name,activity_name,sub_program_name,project_name,text,treasury,retained,assistance,loan,total
2012,recurrent,House of The People's Representatives,Management and Administration ,Providing Support and Service,,,House of The People's Representatives Management and Administration  Providing Support and Service,61276252,0,,,61276252
2012,recurrent,House of The People's Representatives,"Monitoring, Oversight and Public Representation ",Conducting Monitoring and Oversight,,,"House of The People's Representatives Monitoring, Oversight and Public Representation  Conducting Monitoring and Oversight",79974804,0,,,79974804
2012,recurrent,House of The People's Representatives,"Monitoring, Oversight and Public Representation ",Organizing Public Platform,,,"House of The People's Representatives Monitoring, Oversight and Public Representation  Organizing Public Platform",9578431,0,,,9578431
2012,recurrent,House of The People's Representatives,Accessibility and Image Building ,Enhancing Public Participation via Various Platforms and Means of Communication,,,House of The People's Representatives Accessibility and Image Building  Enhancing Public Participation via Various Platforms and Means of Communication,19448018,0,,,19448018
2012,recurrent,House of The People's Representatives,Accessibility and Image Building ,Improving Parliamentary Diplomacy ,,,House of The People's Representatives Accessibility and Image Building  Improving Parliamentary Diplomacy ,15100000,0,,,15100000
2012,recurrent,House of The People's Representatives,Lagislative ,Working for the Enactment of Laws,,,House of The People's Representatives Lagislative  Working for the Enactment of Laws,47716585,0,,,47716585
2012,recurrent,House of The People's Representatives,Cross-Cutting Issue,Creating Awareness on Cross-cutting Issues,,,House of The People's Representatives Cross-Cutting Issue Creating Awareness on Cross-cutting Issues,1255882,0,,,1255882
2012,recurrent,Office of the Prime Minister,Management and Administration,Providing Support and Service ,,,Office of the Prime Minister Management and Administration Providing Support and Service ,115971000,0,,,115971000
2012,recurrent,Office of the Prime Minister,Plan Effectiveness,Supporting and Monitoring Plan Effectiveness,,,Office of the Prime Minister Plan Effectiveness Supporting and Monitoring Plan Effectiveness,8809590,0,,,8809590
2012,recurrent,Office of the Prime Minister,Cabinet Secretariat and Legal Affairs ,Providing Cabinet Secretariat and Legal Affairs Service,,,Office of the Prime Minister Cabinet Secretariat and Legal Affairs  Providing Cabinet Secretariat and Legal Affairs Service,10219410,0,,,10219410
2012,recurrent,Office of the Auditor General,Managemant and Administration,Providing Support and Service,,,Office of the Auditor General Managemant and Administration Providing Support and Service,26241948,0,,,26241948
2012,recurrent,Office of the Auditor General,Audit Research and Development ,Conducting Financial Audit,,,Office of the Auditor General Audit Research and Development  Conducting Financial Audit,48941270,0,,,48941270
2012,recurrent,Office of the Auditor General,Audit Research and Development ,Conducting Performance Audit,,,Office of the Auditor General Audit Research and Development  Conducting Performance Audit,11806110,0,,,11806110
2012,recurrent,Office of the Auditor General,Audit Research and Development ,Conducting Research on Auditing ,,,Office of the Auditor General Audit Research and Development  Conducting Research on Auditing ,1300609,0,,,1300609
2012,recurrent,House of the Federation,Management and Administration,Providing Support and Service,,,House of the Federation Management and Administration Providing Support and Service,20010720,0,,,20010720
2012,recurrent,House of the Federation,Constitutional Interpretation and Identity Affairs Service,Providing Recommendation for Constitutional Interpretation Appeal Claims,,,House of the Federation Constitutional Interpretation and Identity Affairs Service Providing Recommendation for Constitutional Interpretation Appeal Claims,1746000,0,,,1746000
2012,recurrent,House of the Federation,Constitutional Interpretation and Identity Affairs Service,Preparing a Journal of Constitutional Interpretation Decisions,,,House of the Federation Constitutional Interpretation and Identity Affairs Service Preparing a Journal of Constitutional Interpretation Decisions,100950,0,,,100950
2012,recurrent,House of the Federation,Constitutional Interpretation and Identity Affairs Service,Providing Recommendation on Identity Affairs Claims,,,House of the Federation Constitutional Interpretation and Identity Affairs Service Providing Recommendation on Identity Affairs Claims,400950,0,,,400950
2012,recurrent,House of the Federation,"Conflict Resolution, Peace Building and Constitutional Awareness",Resolving Conflict and Building Peace,,,"House of the Federation Conflict Resolution, Peace Building and Constitutional Awareness Resolving Conflict and Building Peace",2658290,0,,,2658290
2012,recurrent,House of the Federation,"Conflict Resolution, Peace Building and Constitutional Awareness",Improving Awareness on Constitution and Federalism,,,"House of the Federation Conflict Resolution, Peace Building and Constitutional Awareness Improving Awareness on Constitution and Federalism",605000,0,,,605000
2012,recurrent,House of the Federation,"Conflict Resolution, Peace Building and Constitutional Awareness",Delivering Capacity Building on Constitution and Federalism,,,"House of the Federation Conflict Resolution, Peace Building and Constitutional Awareness Delivering Capacity Building on Constitution and Federalism",960000,0,,,960000
2012,recurrent,House of the Federation,"Conflict Resolution, Peace Building and Constitutional Awareness",Publishing Copies of the Constitution,,,"House of the Federation Conflict Resolution, Peace Building and Constitutional Awareness Publishing Copies of the Constitution",5e+05,0,,,5e+05
2012,recurrent,House of the Federation,Grant Budget and Shared Revenue Allocation,Revising Shared Revenue Distribution Formula,,,House of the Federation Grant Budget and Shared Revenue Allocation Revising Shared Revenue Distribution Formula,1661320,0,,,1661320
2012,recurrent,House of the Federation,Grant Budget and Shared Revenue Allocation,Revising Federal Grant Allocation Formula,,,House of the Federation Grant Budget and Shared Revenue Allocation Revising Federal Grant Allocation Formula,313340,0,,,313340
2012,recurrent,House of the Federation,Grant Budget and Shared Revenue Allocation,Conducting Assessment on the Fairness of the Federal Infrastructures Distribution,,,House of the Federation Grant Budget and Shared Revenue Allocation Conducting Assessment on the Fairness of the Federal Infrastructures Distribution,602000,0,,,602000
2012,recurrent,House of the Federation,Relationship and Partnership,Being Accessible Using Information Communication Technology,,,House of the Federation Relationship and Partnership Being Accessible Using Information Communication Technology,2828830,0,,,2828830
2012,recurrent,House of the Federation,Relationship and Partnership,Creating Strong Relationship with Member Countries ,,,House of the Federation Relationship and Partnership Creating Strong Relationship with Member Countries ,4e+06,0,,,4e+06
2012,recurrent,House of the Federation,Relationship and Partnership,"Leading Council Meetings and Nations, Nationalities and Peoples’ Day Celebration",,,"House of the Federation Relationship and Partnership Leading Council Meetings and Nations, Nationalities and Peoples’ Day Celebration",6052870,0,,,6052870
2012,recurrent,Office Of The President,Management & Administration,Providing Support and Service,,,Office Of The President Management & Administration Providing Support and Service,22169864,0,,,22169864
2012,recurrent,Office Of The President,Legal and Complaint,Implementing Legal and Compliant Issues,,,Office Of The President Legal and Complaint Implementing Legal and Compliant Issues,618716,0,,,618716
2012,recurrent,Office Of The President,Communication and Protocol Service,Implementing Protocol and Communication Activities,,,Office Of The President Communication and Protocol Service Implementing Protocol and Communication Activities,3948420,0,,,3948420
2012,recurrent,Palace Administration,Management & Administration,Providing Support and Service,,,Palace Administration Management & Administration Providing Support and Service,78567500,0,,,78567500
2012,recurrent,Palace Administration,State Banquet Service,Delivering Official Entertainment,,,Palace Administration State Banquet Service Delivering Official Entertainment,89050400,9599000,,,98649400
2012,recurrent,Palace Administration,Palace Museums & Heritages Conservation,Museum Servicing & Heritage Conservation ,,,Palace Administration Palace Museums & Heritages Conservation Museum Servicing & Heritage Conservation ,8985100,1625000,,,10610100
2012,recurrent,Office of the National Election Board,Management and Administration,Providing Support and Service,,,Office of the National Election Board Management and Administration Providing Support and Service,35264990,0,,,35264990
2012,recurrent,Office of the National Election Board,Fair Election,Providing Civic and Voters Education to Citizens,,,Office of the National Election Board Fair Election Providing Civic and Voters Education to Citizens,185062800,0,,,185062800
2012,recurrent,Office of the National Election Board,Fair Election,Supervising Political Parties,,,Office of the National Election Board Fair Election Supervising Political Parties,60006020,0,,,60006020
